="参数名"	="参数类型"	="设置范围"	="候选取值"
="bulk_insert_buffer_size"	="Integer"	="Both"	="0，20"
="concurrent_insert"	="Enumeration"	="Global"	="0，1，2"
="default_storage_engine"	="Enumeration"	="Both"	="MySIAM、InnoDB"
="delay_key_write"	="Enumeration"	="Global"	="OFF、ALL"
="eq_range_index_dive_limit"	="Integer"	="Both"	="0，2"
="foreign_key_checks"	="Boolean"	="Both"	="-"
="group_concat_max_len"	="Interger"	="Global"	="4 64"
="innodb_adaptive_hash_index"	="Boolean"	="Global"	="OFF、ON"
="innodb_change_buffering"	="Enumeration"	="Global"	="none，all"
="innodb_cmp_per_index_enabled"	="Boolean"	="Global"	="ON，OFF"
="innodb_ddl_threads"	="Integer"	="Session"	="1 4"
="innodb_file_per_table"	="Boolean"	="Global"	="OFF，ON"
="innodb_flush_neighbors"	="Enumeration"	="Global"	="1，2"
="innodb_max_dirty_pages_pct"	="Numeric"	="Global"	="0 10"
="innodb_max_dirty_pages_pct_lwm"	="Numeric"	="Global"	="0 5"
="innodb_random_read_ahead"	="Boolean"	="Global"	="ON，OFF"
="innodb_read_ahead_threshold"	="Integer"	="Global"	="0 8"
="innodb_stats_auto_recalc"	="Boolean"	="Global"	="OFF，ON"
="innodb_stats_method"	="Enumeration"	="Global"	="nulls_unequal nulls_ignored nulls_equal"
="innodb_stats_persistent_sample_pages"	="Integer"	="Global"	="1，10"
="innodb_use_fdatasync"	="Boolean"	="Global"	="ON，OFF"
="join_buffer_size"	="Integer"	="Both"	="128262144"
="key_buffer_size"	="Integer"	="Global"	="4096 8388608"
="low_priority_updates"	="Boolean"	="Both"	="ON，OFF"
="max_seeks_for_key"	="Integer"	="Both"	="1，4，18446744073709551615"
="max_sort_length"	="Integer"	="Both"	="41024"
="max_sp_recursion_depth"	="Integer"	="Both"	="5 255 0"
="myisam_data_pointer_size"	="Integer"	="Global"	="2，6"
="myisam_max_sort_file_size"	="Integer"	="Global"	="0 128 1024"
="myisam_sort_buffer_size"	="Integer"	="Both"	="40968388608"
="myisam_stats_method"	="Enumeration"	="Both"	="nulls_equal nulls_ignored nulls_unequal"
="myisam_use_mmap"	="Boolean"	="Global"	="ON，OFF"
="optimizer_prune_level"	="Integer"	="Both"	="0，1"
="optimizer_search_depth"	="Integer"	="Both"	="0 4，62"
="optimizer_switch"	="Set"	="Both"	="-"
="preload_buffer_size"	="Integer"	="Both"	="102432768"
="query_alloc_block_size"	="Integer"	="Both"	="10248192"
="range_optimizer_max_mem_size"	="Integer"	="Both"	="4.10248E+11"
="read_buffer_size"	="Integer"	="Both"	="8192131072"
="read_only"	="Boolean"	="Global"	="ON，OFF"
="read_rnd_buffer_size"	="Integer"	="Both"	="1 1024 262144"
="regexp_stack_limit"	="Integer"	="Global"	="0，1024，8000000"
="rewriter_enabled"	="Boolean"	="Global"	="ON，OFF"
="sort_buffer_size"	="Integer"	="Both"	="32768262144"
="sql_auto_is_null"	="Boolean"	="Both"	="ON，OFF"
="sql_big_selects"	="Boolean"	="Both"	="ON，OFF"
="sql_buffer_result"	="Boolean"	="Both"	="ON，OFF"
="sql_generate_invisible_primary_key"	="Boolean"	="Both"	="ON，OFF"
="sql_mode"	="Set"	="Both"	=""""" ""ONLY_FULL_GROUP_BY STRICT_TRANS_TABLES NO_ZERO_IN_DATE NO_ZERO_DATE ERROR_FOR_DIVISION_BY_ZERO NO_ENGINE_SUBSTITUTION"""
="table_open_cache"	="Integer"	="Global"	="1 8"
